,,dataset,Values,,,,,,,,,,,,,,,,,,,,,,
,,1cif2016,,,,2nn5,,,,3tourism,,,,4sp500,,,,5m4,,,,6mimic,,,
forecast_model,cf_model,AVERAGE of proximity,STDEV of proximity,AVERAGE of compactness,STDEV of compactness,AVERAGE of proximity,STDEV of proximity,AVERAGE of compactness,STDEV of compactness,AVERAGE of proximity,STDEV of proximity,AVERAGE of compactness,STDEV of compactness,AVERAGE of proximity,STDEV of proximity,AVERAGE of compactness,STDEV of compactness,AVERAGE of proximity,STDEV of proximity,AVERAGE of compactness,STDEV of compactness,AVERAGE of proximity,STDEV of proximity,AVERAGE of compactness,STDEV of compactness
1gru,1ForecastCF,0.171,0.014,0.531,0.029,0.505,0.043,0.335,0.070,0.313,0.118,0.536,0.158,0.678,0.030,0.893,0.013,0.176,0.059,0.835,0.045,0.154,0.017,0.847,0.011
,2BaseShift,0.265,0.000,0.091,0.000,0.384,0.000,0.039,0.000,0.472,0.000,0.025,0.000,0.999,0.000,0.043,0.000,0.423,0.018,0.071,0.007,0.264,0.000,0.090,0.000
,3BaseNN,1.518,0.000,0.018,0.000,2.001,0.000,0.037,0.000,2.387,0.000,0.032,0.000,3.448,0.000,0.033,0.000,1.262,0.184,0.064,0.003,1.732,0.000,0.026,0.000
2seq2seq,1ForecastCF,0.134,0.016,0.595,0.049,0.012,0.001,0.980,0.004,0.154,0.032,0.638,0.063,0.684,0.062,0.878,0.015,0.133,0.038,0.860,0.051,0.162,0.016,0.839,0.016
,2BaseShift,0.265,0.000,0.091,0.000,0.384,0.000,0.039,0.000,0.472,0.000,0.025,0.000,0.999,0.000,0.043,0.000,0.423,0.018,0.071,0.007,0.264,0.000,0.090,0.000
,3BaseNN,1.518,0.000,0.018,0.000,2.001,0.000,0.037,0.000,2.387,0.000,0.032,0.000,3.448,0.000,0.033,0.000,1.262,0.184,0.064,0.003,1.732,0.000,0.026,0.000
3wavenet,1ForecastCF,0.341,0.004,0.611,0.003,0.912,0.004,0.645,0.003,0.636,0.007,0.705,0.004,0.418,0.017,0.760,0.010,0.144,0.024,0.758,0.029,0.409,0.004,0.723,0.001
,2BaseShift,0.265,0.000,0.091,0.000,0.384,0.000,0.039,0.000,0.472,0.000,0.025,0.000,0.999,0.000,0.043,0.000,0.423,0.018,0.071,0.007,0.264,0.000,0.090,0.000
,3BaseNN,1.518,0.000,0.018,0.000,2.001,0.000,0.037,0.000,2.387,0.000,0.032,0.000,3.448,0.000,0.033,0.000,1.262,0.184,0.064,0.003,1.732,0.000,0.026,0.000
4nbeats,1ForecastCF,0.307,0.012,0.332,0.019,0.655,0.025,0.082,0.016,0.563,0.004,0.163,0.010,0.529,0.129,0.293,0.037,0.130,0.013,0.589,0.034,0.185,0.011,0.611,0.030
,2BaseShift,0.265,0.000,0.091,0.000,0.384,0.000,0.039,0.000,0.472,0.000,0.025,0.000,0.999,0.000,0.043,0.000,0.423,0.018,0.071,0.007,0.264,0.000,0.090,0.000
,3BaseNN,1.518,0.000,0.018,0.000,2.001,0.000,0.037,0.000,2.387,0.000,0.032,0.000,3.448,0.000,0.033,0.000,1.262,0.184,0.064,0.003,1.732,0.000,0.026,0.000
